ID,Month,Latitude,Longitude
8603091,6,-5.89,39.555
8603091,6,-5.63,39.454
8603091,6,-5.362,39.39
8603091,6,-5.053,39.417
8603091,6,-4.759,39.571
8603091,6,-4.466,39.748
8603091,6,-4.188,39.903
8603091,6,-3.913,40.056
8603091,7,-3.641,40.209
8603091,7,-3.372,40.364
8603091,7,-3.102,40.532
8603091,7,-2.835,40.679
8603091,7,-2.656,40.851
8603091,7,-2.464,41.085
8603091,7,-2.236,41.283
8603091,7,-2.0,41.47
8603091,7,-1.76,41.654
8603091,7,-1.519,41.838
8603091,7,-1.279,42.031
8603091,7,-1.038,42.233
8603091,7,-0.778,42.364
8603091,7,-0.582,42.554
8603091,7,-0.388,42.703
8603091,7,-0.196,42.843
8603091,7,-0.008,42.982
8603091,7,0.178,43.127
8603091,7,0.356,43.297
8603091,7,0.542,43.479
8603091,7,0.721,43.634
9421860,3,-5.943,39.692
9421860,3,-5.767,39.613
9421860,3,-5.598,39.515
9421860,3,-5.434,39.393
9421860,3,-5.217,39.307
9421930,11,-5.923,39.668
9421930,11,-5.81,39.594
9421930,11,-5.704,39.511
9421930,11,-5.608,39.448
9421930,11,-5.5,39.426
9421930,11,-5.386,39.424
9421930,11,-5.27,39.434
9421930,11,-5.152,39.453
9421930,11,-5.033,39.481
9421930,11,-4.915,39.517
9421930,12,-4.797,39.562
9421930,12,-4.681,39.618
9421930,12,-4.57,39.711
9421930,12,-4.457,39.772
9421930,12,-4.343,39.854
9421930,12,-4.25,39.924
9421930,12,-4.156,40.016
9421930,12,-4.061,40.12
9421930,12,-3.966,40.229
9421930,12,-3.871,40.342
9421930,12,-3.776,40.455
9421930,12,-3.681,40.569
9421930,12,-3.586,40.681
9421930,12,-3.492,40.79
9421930,12,-3.389,40.894
9421930,12,-3.302,40.989
9421930,12,-3.212,41.054
9421930,12,-3.12,41.113
9421930,12,-3.057,41.202
9421930,12,-3.004,41.312
9421930,12,-2.957,41.434
9421930,12,-2.915,41.563
9421930,12,-2.878,41.698
9421930,12,-2.848,41.836
9421930,12,-2.827,41.976
